clip,offset_s,survival,mean_survival_s,n,window_s
Eyes_Japan_Dataset_ichige_sitdown_standup-11-one_knee_drawn_up-ichige_poses_250_jpos,3.0,0.0,2.15,8,3.0
Eyes_Japan_Dataset_ichige_sitdown_standup-11-one_knee_drawn_up-ichige_poses_250_jpos,4.0,0.0,0.892,8,3.0
Eyes_Japan_Dataset_ichige_sitdown_standup-11-one_knee_drawn_up-ichige_poses_250_jpos,6.0,0.0,0.342,8,3.0
Eyes_Japan_Dataset_ichige_sitdown_standup-11-one_knee_drawn_up-ichige_poses_250_jpos,8.0,0.0,0.295,8,3.0
Eyes_Japan_Dataset_ichige_sitdown_standup-11-one_knee_drawn_up-ichige_poses_250_jpos,mean,0.4286,,56,3.0
Eyes_Japan_Dataset_kaiwa_pose-11-bended_knees-kaiwa_poses_120_jpos,0.0,0.875,2.648,8,3.0
Eyes_Japan_Dataset_kaiwa_pose-11-bended_knees-kaiwa_poses_120_jpos,1.0,1.0,3.0,8,3.0
Eyes_Japan_Dataset_kaiwa_pose-11-bended_knees-kaiwa_poses_120_jpos,2.0,1.0,3.0,8,3.0
Eyes_Japan_Dataset_kaiwa_pose-11-bended_knees-kaiwa_poses_120_jpos,3.0,1.0,3.0,8,3.0
Eyes_Japan_Dataset_kaiwa_pose-11-bended_knees-kaiwa_poses_120_jpos,4.0,0.0,0.652,8,3.0
Eyes_Japan_Dataset_kaiwa_pose-11-bended_knees-kaiwa_poses_120_jpos,6.0,0.0,0.62,8,3.0
Eyes_Japan_Dataset_kaiwa_pose-11-bended_knees-kaiwa_poses_120_jpos,8.0,0.0,0.572,8,3.0
Eyes_Japan_Dataset_kaiwa_pose-11-bended_knees-kaiwa_poses_120_jpos,mean,0.5536,,56,3.0
Eyes_Japan_Dataset_kanno_pose-11-bended_knees-kanno_poses_120_jpos,0.0,1.0,3.0,8,3.0
Eyes_Japan_Dataset_kanno_pose-11-bended_knees-kanno_poses_120_jpos,1.0,1.0,3.0,8,3.0
Eyes_Japan_Dataset_kanno_pose-11-bended_knees-kanno_poses_120_jpos,2.0,0.375,2.825,8,3.0
Eyes_Japan_Dataset_kanno_pose-11-bended_knees-kanno_poses_120_jpos,3.0,0.0,1.36,8,3.0
Eyes_Japan_Dataset_kanno_pose-11-bended_knees-kanno_poses_120_jpos,4.0,0.0,1.0,8,3.0
Eyes_Japan_Dataset_kanno_pose-11-bended_knees-kanno_poses_120_jpos,6.0,0.0,0.527,8,3.0
Eyes_Japan_Dataset_kanno_pose-11-bended_knees-kanno_poses_120_jpos,8.0,0.0,0.382,8,3.0
Eyes_Japan_Dataset_kanno_pose-11-bended_knees-kanno_poses_120_jpos,mean,0.3393,,56,3.0
Eyes_Japan_Dataset_kanno_sitdown_standup-11-one_knee_drawn_up-kanno_poses_120_jpos,0.0,1.0,3.0,8,3.0
Eyes_Japan_Dataset_kanno_sitdown_standup-11-one_knee_drawn_up-kanno_poses_120_jpos,1.0,1.0,3.0,8,3.0
Eyes_Japan_Dataset_kanno_sitdown_standup-11-one_knee_drawn_up-kanno_poses_120_jpos,2.0,0.625,2.955,8,3.0
Eyes_Japan_Dataset_kanno_sitdown_standup-11-one_knee_drawn_up-kanno_poses_120_jpos,3.0,0.625,2.68,8,3.0
Eyes_Japan_Dataset_kanno_sitdown_standup-11-one_knee_drawn_up-kanno_poses_120_jpos,4.0,0.0,0.852,8,3.0
Eyes_Japan_Dataset_kanno_sitdown_standup-11-one_knee_drawn_up-kanno_poses_120_jpos,6.0,0.0,0.532,8,3.0
Eyes_Japan_Dataset_kanno_sitdown_standup-11-one_knee_drawn_up-kanno_poses_120_jpos,8.0,0.0,0.567,8,3.0
Eyes_Japan_Dataset_kanno_sitdown_standup-11-one_knee_drawn_up-kanno_poses_120_jpos,mean,0.4643,,56,3.0
KIT_3_kneel_down_to_crawl04_poses_100_jpos,0.0,1.0,3.0,8,3.0
KIT_3_kneel_down_to_crawl04_poses_100_jpos,1.0,0.25,2.457,8,3.0
KIT_3_kneel_down_to_crawl04_poses_100_jpos,2.0,0.0,1.16,8,3.0
KIT_3_kneel_down_to_crawl04_poses_100_jpos,3.0,0.0,0.365,8,2.4
